Timestamp,breakfast days,CGPA,breakfast affects ,breakfast skipped,why,breakfast makes difference
03/08/2024 1:06,3,3,Agree,No,,Yes
03/08/2024 1:11,3,2.5,Strongly agree,No,Not hungry in the morning,Yes
03/08/2024 1:13,1,3.1,Agree,No,Not hungry in the morning,Maybe
03/08/2024 1:16,3,2.2,Agree,Yes,Lack of time,Yes
03/08/2024 1:17,5,2.6,Disagree,Yes,"Lack of time, Not hungry in the morning",No
03/08/2024 2:23,5,2.3,Strongly agree,Yes,Lack of time,Yes
03/08/2024 3:17,1,2.1,Neutral,Yes,Not hungry in the morning,Maybe
03/08/2024 3:46,3,2,Strongly agree,Yes,Not hungry in the morning,Yes
03/08/2024 6:38,3,2.9,Agree,Yes,Lack of time,Maybe
03/08/2024 8:21,3,3,Agree,Yes,"Lack of time, Not hungry in the morning",Yes
03/08/2024 8:29,6,4,Agree,Yes,"Lack of time, Not hungry in the morning",Maybe
03/08/2024 8:56,5,3.9,Strongly agree,No,,Yes
03/08/2024 9:31,1,2.6,Neutral,Yes,Not hungry in the morning,Maybe
03/08/2024 9:36,3,2.7,Agree,Yes,Lack of time,Yes
03/08/2024 9:53,5,3.7,Neutral,No,"Lack of time, Not hungry in the morning",Maybe
03/08/2024 9:55,1,3.4,Neutral,Yes,"Lack of time, Not hungry in the morning",Yes
03/08/2024 10:18,5,3.3,Agree,Yes,Lack of time,Maybe
03/08/2024 11:10,7,2.6,Neutral,Yes,"Lack of time, Not hungry in the morning",Yes
03/08/2024 12:15,5,3.1,Agree,Yes,Lack of time,Yes
03/08/2024 17:05,2,2.5,Neutral,Yes,Not hungry in the morning,No
03/08/2024 21:17,6,3.8,Strongly agree,Yes,Lack of time,Yes
03/08/2024 23:06,4,2.7,Neutral,Yes,"Lack of time, Not hungry in the morning",Maybe
03/08/2024 23:06,2,1.7,Neutral,Yes,"Lack of time, Not hungry in the morning",Maybe
03/08/2024 23:06,5,3.6,Agree,Yes,"Lack of time, Not hungry in the morning",Maybe
03/08/2024 23:07,2,1.8,Disagree,Yes,Not hungry in the morning,No
03/08/2024 23:49,2,2.4,Strongly agree,Yes,"Lack of time, Not hungry in the morning",Yes
03/09/2024 13:05,6,3.9,Strongly agree,No,,Yes
03/09/2024 13:05,3,2.3,Disagree,Yes,Not hungry in the morning,Maybe
03/09/2024 13:05,4,3.3,Strongly agree,No,,Yes
03/09/2024 13:08,4,2.8,Neutral,Yes,"Lack of time, Not hungry in the morning",Maybe
03/09/2024 13:11,3,2.9,Agree,Yes,Lack of time,Yes
